weight_scale,sigma,trials,success_rate,avg_steps,avg_rcp,avg_final_conf,R,T,max_steps,mode_variant,n_effective,R_effective
0.5,2.0,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,0.0,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,0.1,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,0.2,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,0.3,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,0.4,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,0.5,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,0.6,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,0.7,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,0.8,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,0.9,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,1.0,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,1.1,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,1.2,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,1.3,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,1.4,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,1.5,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,1.6,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,1.7,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,1.8,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,1.9,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.2,2.0,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,0.0,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,0.1,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,0.2,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,0.3,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,0.4,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,0.5,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,0.6,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,0.7,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,0.8,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,0.9,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,1.0,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,1.1,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,1.2,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,1.3,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,1.4,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,1.5,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,1.6,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,1.7,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,1.8,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,1.9,3,0.67,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.1,2.0,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,0.0,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,0.1,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,0.2,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,0.3,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,0.4,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,0.5,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,0.6,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,0.7,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,0.8,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,0.9,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,1.0,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,1.1,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,1.2,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,1.3,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,1.4,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,1.5,3,0.67,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,1.6,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,1.7,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,1.8,3,0.33,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,1.9,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
0.05,2.0,3,0.00,1.0,16.0,1.000,2,0.2,50,binary_strict_R2,1,2
